Q,A
 국가 유공 등 예 및 지원 관 법률상 전몰 군경 자녀수당 의 불합리 문제점 개선 청원,기타
 소액 주주 보호,경제민주화
 어회 강사 제도 유지,일자리
 국가 유공 예 및 지원 관 법룰 시행 령 개정 청원,외교_통일_국방
 황우석 박사 연구 재개 허용 촉구,기타
 기간 교사 정규직 반대,육아_교육
 기간 제 교사 정규직 반대,육아_교육
 기간 제 교사 정규직 반대,육아_교육
 치과위생사 국가고시 날짜 변경,일자리
 기회 균등 보장 사회,일자리
 국가 유공 예 및 지우 너 관 법률 시행 령 개정,외교_통일_국방
 국가 유공 자등 예 및 지우 너 관 법률 시행 령 개정,외교_통일_국방
 국가 유공 자등 예 및 지우 너 관 법률 시행 령 개정,외교_통일_국방
 기간 제 및 강사 정규직 무기 직화 반대,일자리
 수능 상대평가 유지 정시 확대,육아_교육
 기간 제 교사 정규직 전환 반대,육아_교육
 대통령 부동산 대책 소급 적용 부당성 대해 청원,행정
 영양 교사 폐지 영양 직 직렬 신설 청원,육아_교육
 전몰 유자녀 보 훈수 차별 정책 철폐,외교_통일_국방
 유자녀 수당 차별 폐지 청원,외교_통일_국방
 커녕 자식,외교_통일_국방
 고용노동부 상담 처우 개선 위 예산 편성 촉구 청원,일자리
 기간 제 교사 정규직 결사 반대,육아_교육
 기간 교사 정규직 무기계약직 반대,육아_교육
 공공기관 공무원 교육 무직 무분별 정규직 반대,일자리
 부동산 투기 지구 지방 대구 부산 확대,교통_건축_국토
 이명박 정부 어회 강사 스포츠 강사 폐지 촉구,육아_교육
 이명박 정부 어회 강사 스포츠 강사 폐지,육아_교육
 영어 전문 강사 스포츠 강사 무기계약직 정규직 전환 것 반대,육아_교육
 여가부 해바라기 센터 심리치료사 자격 기준 강화 필요,보건복지
 기간 교사 정규직 및 무기계약직 전환 반대,육아_교육
 중등 교과 교사 티오 증원 요청 제발,육아_교육
 기간 제 교사 및 각종 강사 무기 계약 및 정규직 전환 반대,육아_교육
 증권 자본시장 개정안 상장폐지 법 개정안,경제민주화
 기간 제 교사 목소리,일자리
 초등학교 어회 강사 비롯 강사 무기 계약 전환 시도 교육 대학교 초 등교 사의 전문성 무시 처사,육아_교육
 교육 현장 요구 무자격 강사 제도 폐지 정 교사 충 불공정 무기계약직 정규직 전환 절대 반대,육아_교육
 학교 내 각종 강사 무기 직 전환 반대,육아_교육
 사법고시 존치,육아_교육
 산정 특례,보건복지
 집 철거민 신세,교통_건축_국토
 전몰 군경 미수 유자녀 수당 차별 철폐,외교_통일_국방
 농인 청각장애 수어 통역 지원 서비스 체계 위 수어 통역 센터 중앙 지원 본부 설치 운영 예산 요청,보건복지
 부동산대책 도시 정비 사업 불합리 부분 시정 요청,교통_건축_국토
 전몰 유자녀 모두 대우,보건복지
 춘천 속초 고속 철도 고속 철도 사업 관련 청원 건,교통_건축_국토
 조두순 심신 미약 감형 반대,안전_환경
 민영 방송 적폐 청산,문화_예술_체육_언론
 전몰 군경 미수 유자녀 예 및 지원 차별 철폐,외교_통일_국방
 광화문 번가 국민 제안 대한 회,교통_건축_국토
 유치원 방과후 강사 유치원 교사 무기계약직 정규직 전환 것 반대,육아_교육
 임대 분양 전화 문제 꼭 해결,교통_건축_국토
 문재인 대통령 기념 시계 판매 하라,기타
 미세먼지 범 바이오매스 발전소 건립 반대,안전_환경
 체육회 소속 생활 체육 지도자,문화_예술_체육_언론
 소방 공무원 근무 환경 개선,안전_환경
 기간 제 교사 고용 안정 청,일자리
 해피 조직 해양 환경 관리 공단 특혜 독점 부여 민간 중소 방제 업 생존 기반 회복 청원,안전_환경
 임용 절벽 벼랑 끝 선 임용고시 준비 생 구,육아_교육
 기획 균등 박탈 공정 경쟁 파괴 부문 비정규직 정규직 반대,일자리
 소비자 피해자 자동차관리법 개정 청원,교통_건축_국토
 고속 철도 정차 역 별내역 포함,교통_건축_국토
 표적 치료 제인 리 소의 보험 여가 적용 사람 생명 더 수 즉시 적용 위해 청원,기타
 교사 교육,육아_교육
 비교 교사 법정 정원 확충 지지,육아_교육
 천세 신고 기한 및 전자 세금 계산서 발행 한일 연장 시기,기타
 수능 절대평가 전환 정치 교육철학,육아_교육
 세월호 참사 범인 해경 정 해경 대원 명 대한 정부 직접 조사 청원,정치개혁
 분양 전환 산정 방식 변경,교통_건축_국토
 다산 신도시 내 행정동 명칭 복합 명칭 다산 변경 요청,교통_건축_국토
 난임 부부 시술 비 건강 보험 적용 대상 확대,저출산_고령화대책
 서울 노원구 꿈 동산 유치원 폐,육아_교육
 완전 표시 제 시행 학교 급식 퇴 출시,안전_환경
 학교 교육 현장 일자리 창 장 여기 강사 기간 교사 정규직 무기계약직 반대,육아_교육
 어린이집 인건비 지원 및 표준 보육료 현실 절실,육아_교육
 임대 리츠 아파트 밍 변경 절차 불합리 개선 요구,교통_건축_국토
 배임 상장폐지 제도 폐지 요청,경제민주화
 부동산 대책 발표 전 계약 비 과세 제외 청원,교통_건축_국토
 관련 법 미비 서민 꿈 트럭 캠퍼,교통_건축_국토
 천안 백석 신설 초등학교 문제점,육아_교육
 교사 현직 영양사 근무 개선 절실,일자리
 유아교육법 제 항 명시 원칙 시기,육아_교육
 주거 용 오피스텔 취득세 인하 관리 비 부가세 면제 요청,교통_건축_국토
 노인장 요양 보험 정상화 촉구,보건복지
 초등학교 엉터리 석면 공사 대책 교육청,육아_교육
 도서관 사서 배치 기준 안 철회,문화_예술_체육_언론
 한약사 처방 규제,보건복지
 제주 시청 공무원 제주시 특수성 가지 그 무관심 고발,행정
 수원 화학 공장 주거지역 소음 발생,안전_환경
 내년 보육료 이상 인상,보건복지
 여성가족부 해체 청원,정치개혁
 무면허 실내 건축 업자 단속 및 처벌 강화 하자 소송 절차 개정 청원,교통_건축_국토
 장애 아동 재활 보조 기구 보조 기구 금액 국가 지원,보건복지
 부동산 대책 소급 적용 사람 자살 생각 사실,기타
 시민 눈물 등 복기왕 아산시장,교통_건축_국토
 춘천 전직 경찰 출신 재건축 조합 대해 수사 비호 춘천 시청 춘천 경찰서 시기,행정
 택배 기사 노동조합 설립 필증,일자리
 여성가족부 장관 경질 청원,행정
 부터 병설 유치원 순위 입학 요청,육아_교육
 국가 유공 급 공상 경의 보훈금 차등 해소 검토,행정
 여성 전용 주택,보건복지
 민간 기업 워킹맘 육아휴직,육아_교육
 우리 대한민국 공무원 이전 정부 적 폐일 시간 선택 제 공무원 제도 개선 청원,일자리
 반려동물 산업 종 사자 존경 문재인 대통령 국민,일자리
